kanji	on	kun	en	bg
蘧	く きょ		Plant Which Resembles Wheat But Has No Edible Grain	растение, подобно на пшеница, без ядливо зърно
蘯	とう	とろ.かす あら.う うご.く	To Toss About | To Swing | To Rock	люлея | разклащам
蘰		かつら	Surname | (kokuji)	фамилно име | венец от лози (в коса)?
蘸	さん	ひた.す	Dip | Remarry	потапям | встъпвам във втори брак
蘺	り	くさびえ	Gracilaria Verrucosa	вид червена водорасъл?
蘿	ら	つた	Ivy	бръшлян
虀	せい さい	あ.える	Minced Pickles | Leeks | Mix | Salt	накълцани туршии | праз | смесвам | сол
虆	るい ら りゅう	かずら ふじかずら	Entwine | Basket For Carrying Dirt	увивам се (за растение) | кошница за пренасяне на пръст
虍	こ		Tiger Spots | Mottled | Tiger Or Tiger Crown Radical (no. 141)	тигрови петна | петнист | радикал „тигър“
虒	し てい だい ち	けもの	An Amphibious Beast Resembling A Tiger With One Horn | Place Name	митично земноводно, подобно на тигър с рог | географско название?
虓	おう よう こう きょう	うそぶ.く いか.る しし たた.く	Roar	рев | рева
虔	けん	つつし.む	Respect	почит | благочестие
處	しょ	ところ -こ お.る	Place | Locale | Department	място | местност | отдел
虖	こ く けい きょう	ほ.える	To Cry | To Shout | To Howl	викам | крещя | вия
虛	きょ こ	むなしい	False | Worthless | Empty | Hollow	лъжлив | безполезен | празен | кух
號	こう	さけ.ぶ よびな	Mark | Sign | Symbol | Number	знак | символ | номер
虡	きょ ご	はし.る	Support Structure For Bell	опорна конструкция за камбана
虢	ほう かく	つめあと	Name Of Ancient Feudal State In Shenxi And Hunan	название на древна феодална държава (в Шенси и Хунан)?
虣	ほう	しいたげる	Cruel | Violent | Passionate	жесток | брутален | страстен
虧	き	か.ける	Wane (moon)	намалявам се (за луната)
虩	けき きゃく さく しゃく	おそ.れる	Fright	страх | уплаха
虬	きゅう く きょう	みずち	Young Dragon	млад дракон
虯	きゅう く きょう	みずち	Young Dragon	млад дракон
虱	しつ	しらみ	Lice | Vermin	въшка | паразит
虷	かん	ぼうふら	Worm	червей | ларва на комар?
虺	き かい け	まむし	Large Poisonous Snake	голяма отровна змия
虻	ぼう	あぶ	Gadfly | Horsefly	конска муха
蚋	ぜい ねい ぜつ ねち	ぶゆ ぶよ ぶと か	Gnat | Sand Fly	мушица | дребна муха
蚌	ぼう ほう びょう	はまぐり どぶが.い	Clam	мида
蚍	ひ	おおあり	Mussels | Various Shellfish	миди | различни мекотели
蚑	き げ	はう	Tip-toe	пълзя | вървя на пръсти
蚓	ず いん	みみず	Earthworm	земен червей
蚘	かい ゆう	かいちゅう はらのむし	Tapeworm	тения | глист
蚜	か け	あぶらむし	Plant Louse | Aphids	листна въшка
蚝			Hairy And Poisonous Caterpillars	космата отровна гъсеница
蚡	ふん	もぐらもち	Mole	къртица
蚣	こう しょう		Centipede | Grasshopper	стоножка | скакалец
蚤	そう	のみ はやい	Flea	бълха
蚦	ぜん ねん ざん なん てん	にしきへび	Boa Constrictor	боа (удав)
蚧	かい		Red Spotted Lizard (used As Medicine)	червено петниста гущерица (използвана като лекарство)?
蚨	ふ		Kind Of Water-beetle Cash | Then Dollars And Money Generally	вид водно бръмбарче? | пари, монети (общо)?
蚩	し		Fool | Make A Fool Of	глупак | подигравам се
蚪	と		Tadpole	попова лъжичка
蚫	ほう	あわび	Abalone | Dried Fish | Surname	морско ухо (абалон) | сушена риба | фамилно име
蚯	きゅう	みみず	Earthworm	земен червей
蚰	ゆう		Millipede	многоножка
蚱	さく しゃく さ しゃ		Grasshopper | Locust	скакалец | акрида
蚳	ち し てい たい		Ant Eggs	мравешки яйца
蚵	か		Oyster	стрида
蚶	かん		Ark Shell	вид мида (аркова мида)?
蚿	けん		Millipede	многоножка
蛀	しゅ	きくいむし	Insects That Eat Books | Clothes	молец (дървояд)
蛄	こ		Mole Cricket | Cicada	земеровка | цикада
蛅	ねん せん		Caterpillar	гъсеница
蛆	そ しょ	うじ	Worm | Grub | Maggot	червей | ларва | личинка на муха
蛉	れい		Dragonfly | Moon Moth	водно конче
蛎	れい	かき	Oyster	стрида
蛑	ぼう む もう		Marine Crab	морски рак
蛔	かい ゆう	かいちゅう はらのむし	Intestinal Worms	чревни глисти
蛕	かい	かいちゅう	The Common Intestinal Worms | The Tape-worm	обикновени чревни глисти | тения
蛙	あ わ	かえる かわず	Frog	жаба
蛛	ちゅ しゅ		Spider	паяк
蛞	かつ		Kind Of Slug	плужек (безчерупчен охлюв)
蛟	こう きょう	みずち	Dragon	дракон
蛣	きつ きち けつ けち けい		(dung) Beetle	торен бръмбар
蛤	こう	はまぐり	Clam	мида
蛩	きょう	こおろぎ	Cricket	щурец
蛬	きょう	ころぎ きりぎりす	Cricket	щурец
蛯		えび うば	Shrimp | (kokuji)	скарида
蛸	そう しょう	たこ	Octopus	октопод
蛹	よう	さなぎ	Chrysalis | Pupa	какавида
蛺	きょう こう りょう	ちょう	Kind Of Butterfly	вид пеперуда
蛻	ぜい せい たい	もぬ.ける ぬけがら	Insect Moulting	линеене (при насекоми) | захвърлена ципа
蛾	ぎ が	ひむし	Moth	нощна пеперуда
蜀	しょく ぞく	いもむし	Green Caterpillar | Szechwan	зелена гъсеница | Съчуан
蜃	しん		Clam	мида
蜆	けん	しじみ	Fresh-water Clam	сладководна мида
蜇	てつ てち	さ.す	Jellyfish	медуза
蜈	ご		Centipede	стоножка
蜉	ふ		Kind Of Ant | May Fly	вид мравка | еднодневка
蜊	り	あさり	A Kind Of Bivalve	вид двучерупчест мекотел
蜋	ろう りょう		Mantis | Dung Beetle | Insect	богомолка | торен бръмбар
蜍	しょ		Toad	крастава жаба
蜎	えん けん	ぼうふら	Mosquito Larva	ларва на комар
蜑	たん	あま	Egg	яйце?
蜒	えん たん		Meandering | Serpentine	виещ се | извиващ се
蜓	えん てん てい じょう		Dragonfly | Millipede | Lizard	водно конче | стоножка | гущер
蜔	てん		Inlaid Shell-work	инкрустация от миди?
蜘	ち	くも	Spider	паяк
蜚	ひ	あぶらむし	Beetle | Cockroach	бръмбар | хлебарка
蜡	しょ わ じゃ せき しゃく	うじむし	Wax | Candle | Waxy | Glazed | Maggot	восък | свещ | восъчен | глазиран | ларва
蜣	きょう こう きゃく かく		Dung Beetle	торен бръмбар
蜥	しゃく せき	とかげ	A Lizard	гущер
蜨	しょう そう		Butterfly	пеперуда
蜩	ちょう	ひぐらし せみ	Clear-toned Cicada	цикада
蜮	よく いき こく わく	いさごむし	Fabulous Creature Like A Turtle | Toad	митично същество (подобно на костенурка)? | крастава жаба
蜱	ひ ひょう	だに	Tick | Mite	кърлеж | акар
蜴	えき		Lizard	гущер
蜹	ぜい ねい ぜつ ねち	ぶゆ ぶよ ぶと か	Gnat | Mosquito	мушица | комар
蜺	げい げつ げち	つくつくぼうし	Reflection Of Rainbow	отражение на дъга?
蜻	せい		Dragonfly	водно конче
蜾	か ら	じがばち	The Solitary Wasp	самотна оса
蜿	えん わん		Meandering	виещ се
蝀	とう つ		Rainbow	дъга
蝃	てい たい せつ せち	にじ	Rainbow	дъга
蝉	せん ぜん	せみ	Cicada	цикада
蝋	ろう	みつろう ろうそく	Wax	восък
蝌	か		Tadpole	попова лъжичка
蝍	そく しょく		Centipede	стоножка
蝎	かつ	さそり すくもむし	Scorpion	скорпион
蝓	ゆ		Slug | Snail	охлюв без черупка | охлюв
蝕	しょく	むしば.む	Eclipse | Occultation | Be Defective	затъмнение | покриване (астр.) | разяждам се
蝗	こう	いなご ばった	Locust	скакалец
蝘	えん おん		Gecko | Kind Of Cicada	гекон | вид цикада
蝙	へん	こうもり	Bat	прилеп
蝝	えん けん	いなご	The Larva Of Locust	ларва на скакалец
蝟	い	はりねずみ	Hedgehog	таралеж
蝠	ふく		Bat	прилеп
蝡	ぜん だ ねん じゅ にゅ	うごめ.く	Eumenes Polifomis | Kind Of Wasp	вид оса?
蝣	ゆう		Mayfly	еднодневка
蝥	ぼう む めう ぶ		Fly Which Is Used Similarly To Cantharides	бръмбар, използван като кантарида?
蝨	しつ	しらみ	Lice | Vermin	въшка | паразит
蝪	えき		Lizard	гущер
蝮	ふく	まむし	Viper | Adder | Asp	усойница | змия
蝯	えん おん	てながざる	Ape	маймуна
蝱	ぼう もう みょう ぶう	あぶ	Horsefly | Gadfly	конска муха | овод
蝴	こ		Butterfly	пеперуда
蝸	か	かたつむり	Snail	охлюв
蝻	なん		Immature Locusts	млад скакалец
蝼			A Mole Cricket | Gryllotalpa Africana	щурец къртичар
蝿	よう	はえ はい	Fly	муха
螂	ろう		Mantis	богомолка
螃	ほう ひょう		Crab	рак
螄	し	にな	Kind Of Snail With Spiral Shell	вид охлюв със спираловидна черупка
螆	し		Hairy And Poisonous Caterpillars	космата отровна гъсеница
螉	お おう		Wasp	оса
螋	しゅう		Spider Millipede	паякообразна стоножка
螌	はん		Striped | Poisonous Fly	ивичеста отровна муха?
螓	しん	なつぜみ	Small Cicada With A Square Head	малка цикада с квадратна глава
螕	へい ひ	だに おおあり	Tick | Mite	кърлеж | акар
螗	とう	なつぜみ	Kind Of Cicada	вид цикада
螘	ぎ	あり	Ant	мравка
螙	と	きくいむし	Grubs In Wood | Worms In Books, Clothes, Etc | Used Figuratively Of Corrupt Officials	ларва, ядяща дърво | молец (в книги, дрехи) | продажен чиновник (прен.)
螞	ば め		Ant | Leech	мравка | пиявица
螟	めい みょう	ずいむし	Injurious Parasite	вреден паразит
螢	けい	ほたる	Firefly	светулка
螣	とう ちん じん		Mythological Wingless Dragon Of	митичен безкрил дракон?
